Accession_position,genus_species,spec_as_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
597203_z,Vitis_labrusca,4,-0.55007434,0.15060145,3.7426567,1.4184209,-0.7144331,0.4522388,-1.4954168,1.2028322,0.47630525,1.0153888,0.7790938,-0.24949673,-0.49371982,2.1009126,0.4966256,-0.84085524,0.9245591,-0.73665637,0.6425791
597228_z,Vitis_labrusca,4,-0.5164863,-0.26640585,2.025423,-0.13811506,1.3217312,1.6455603,-1.0049736,1.3281873,-0.57762057,1.7794057,0.884365,-0.24364111,-0.35461688,0.3292326,-0.13447791,-0.95156664,1.7801349,0.8718804,0.019632058
588307_z,Vitis_labrusca,4,-0.7353146,-0.053455643,1.6563525,0.60764295,-1.7777256,1.1251154,-1.2124504,0.6377969,0.13801113,0.39292726,0.3396824,0.07117457,-0.27652234,0.43551245,-0.14904773,-0.78497887,0.81043494,-0.8281782,0.4805303
588138_z,Vitis_labrusca,4,-0.7988398,-0.5325517,1.4512419,0.7063984,-1.9254955,0.637401,-1.6271417,0.8470527,1.581317,1.0806853,2.174232,1.4046143,-0.06540553,0.34305853,3.5528705,-0.91531163,0.8048971,-0.80835074,0.40678644
588169_z,Vitis_labrusca,4,-0.36817965,-0.52429867,2.648657,-0.20341665,-0.86134803,-0.18911183,-1.4940423,1.4063543,-0.7421278,0.5888413,0.95903987,-0.3381431,-0.77692795,0.14387417,0.5074733,-0.75068116,1.4722412,-0.23329726,-0.19663684
588277_z,Vitis_labrusca,4,-0.57279253,0.23035008,1.8413806,0.84662116,-1.2271988,2.8171172,-1.1775789,1.4413391,0.51360303,3.4143817,2.0937262,-0.055093095,-0.29638594,1.4480556,0.5343059,-0.8133638,1.4636754,-0.7962069,0.59741753
483155_z,Vitis_labrusca,4,-0.44757828,-0.4905269,1.9687725,1.2662041,-1.1237919,0.27189633,-0.48011485,1.1127541,0.76386315,0.7320292,1.0483663,0.071657404,-0.5165841,0.6055194,1.4369015,-0.81992877,1.3754295,-0.8171075,0.11775473
483150_z,Vitis_labrusca,4,-0.6068895,-0.56897104,2.208719,0.9898467,-0.39745694,0.9373212,-1.0435379,1.1178982,0.2687868,1.3188834,0.9941899,0.03880862,0.2775482,0.51326466,0.77854246,-0.87136525,1.6950507,-0.8312431,0.7799536
483147_z,Vitis_labrusca,4,-0.5664157,-0.06787227,1.6696993,0.42832902,-1.5766928,0.37471116,-0.40874892,1.5763972,-0.15650624,1.9424945,1.2098656,0.33806515,-0.7288759,1.0669006,1.0826018,-0.82059157,1.2613149,-0.85875773,0.22752309
483149_z,Vitis_labrusca,4,0.36030692,0.109799534,1.9991188,2.3120227,-0.83240527,1.5654126,-0.54694086,1.3544164,1.0270166,2.8062859,1.8383307,0.21002431,-0.32461387,1.0483315,1.140614,-0.8016731,0.7789085,-0.8568523,0.02023569
588194_z,Vitis_labrusca,4,-0.6458582,-0.3903631,2.090796,0.15324181,-0.5872994,-0.06471389,-1.1706295,0.73157346,0.32929778,1.6467578,1.0946028,0.24278027,-0.3537109,0.4878435,1.0831244,-0.89863,0.852267,-0.62082946,0.12855339
483153_z,Vitis_labrusca,4,-0.25204146,-0.3843414,1.0110292,0.48915473,-1.5153371,-1.1774856,-1.5485808,1.696223,0.23603807,0.09118933,0.47370777,-0.017354192,-0.20826447,-0.21265967,0.6501858,-0.9490128,1.6873068,-0.81383646,-0.025154771
483154_z,Vitis_labrusca,4,-0.21939182,-0.77324116,2.4475,0.7280386,-1.6937245,-0.39469942,-0.7068922,2.229676,0.7130862,1.7514997,0.64199036,-0.0718224,-0.90202165,0.24889895,0.6096451,-0.8913055,2.513621,-0.83389986,0.57610196
483146_z,Vitis_labrusca,4,-0.48624712,-0.6671436,4.531888,0.36908966,-1.5263937,-0.6652265,-1.7908431,1.6017517,0.0550255,0.3820296,1.1024061,0.19578962,-0.22467929,0.84688526,0.94201577,-0.95045537,1.2698855,-0.8604874,0.7635041
483157_z,Vitis_labrusca,4,-0.6717069,-0.29582727,2.195048,-0.15273108,0.059957974,0.099491715,-0.63273,0.9846779,1.880807,0.9305276,-0.3675911,-0.22276933,-0.88935584,-0.0938818,0.06493857,-0.9455268,0.62969327,-0.8932451,0.32754013
483145_z,Vitis_labrusca,4,-0.68898827,-0.34595498,2.4569836,0.5154128,-0.65639037,0.1311016,-1.0096369,0.6173939,0.46215466,1.8208472,1.246671,0.95406884,-0.52264845,0.18825868,0.30191734,-0.95377445,0.28148898,-0.86439794,0.1376999
483133_z,Vitis_labrusca,4,-0.70696074,0.11679114,4.700368,1.2751787,-0.5755362,0.84726083,-1.2203615,2.3150578,1.2170482,2.2687228,2.5624206,0.41580454,-0.32911018,3.474747,1.2909998,-0.89093,1.8523453,-0.7832653,0.84186655
483152_z,Vitis_labrusca,4,-0.14927362,-0.40131092,3.7203398,0.61518264,-0.22345081,1.086512,-1.384728,1.7903156,0.8561663,2.2612588,1.6829892,0.2481395,-0.43759823,1.9119425,0.8281642,-0.8831199,1.5225774,-0.86621034,0.48787582
483163_z,Vitis_labrusca,4,-0.7901867,-0.3574698,1.8540653,0.12989788,0.0721903,0.45560345,-0.67111707,0.7222855,-0.13056922,1.4023829,1.0103238,-0.30838937,0.09923883,0.62847006,0.24218626,-0.7857693,0.43258372,-0.45729572,0.11448097
588201_z,Vitis_palmata,5,-0.405099,0.057483613,-0.19587655,-0.13255225,-0.29426947,-0.2629969,-0.7724051,-0.5951228,-0.29396787,0.83247995,3.951411,5.2436714,-0.40441722,-0.003416355,-0.6497492,-0.21326405,-0.33237612,-0.6873076,0.36866468
588152_z,Vitis_palmata,5,-1.2926356,0.13281877,0.20622516,0.96820575,3.4461946,0.35914093,0.12613241,-0.27704522,-0.051784895,1.8414505,2.7510583,4.9147644,0.002215184,0.28019252,0.8838054,-0.016995922,-0.22545008,-0.3275491,0.12701674
588155_z,Vitis_palmata,5,-0.6688139,-0.37754232,1.3956976,0.052071694,1.9962208,0.906787,-1.28551,0.77200216,0.36998937,0.57096356,1.0183632,0.7996849,-0.23180293,0.46007377,-0.2211422,-0.6557028,0.68261045,-0.1850941,0.23446462
588233_z,Vitis_palmata,5,-1.1061723,0.16664115,0.35146528,0.016142173,1.6513321,-0.12711048,-0.96883744,1.2880514,0.3020942,2.0552664,2.198404,1.1606878,-0.61436397,0.961147,0.11151274,-0.8330806,1.0312229,-0.5890779,0.9683556
588467_z,Vitis_palmata,5,-1.2471858,-0.2190431,-0.33025348,0.39725703,0.27156165,-0.031648364,0.50751275,-0.9358981,-0.73321426,0.23584038,1.0471785,1.7678015,-0.5172191,-0.3591437,0.52562046,-0.40994158,-0.8016395,-0.6168185,-0.22759275
588204_z,Vitis_riparia,6,0.72881854,-0.5828446,0.67114,-0.24956222,-1.8569976,-0.42042378,-1.4852687,1.9356898,0.6983553,0.6097663,0.3461389,-0.2848428,-0.81614673,-0.4178455,0.116797544,-0.5981792,2.1234698,0.4371705,-0.13322917
588276_z,Vitis_riparia,6,0.47632745,0.4244186,-0.029367754,1.5412394,-0.7529929,-0.31235254,0.2529994,0.7786729,2.0315924,1.1394222,1.1051834,-0.23227504,-0.77903247,0.082890004,0.8383145,-0.4515381,0.6349176,0.17082484,-0.23603398
588440_z,Vitis_riparia,6,1.0806723,0.47633448,-0.29515776,0.14145024,-1.082311,0.7646216,-1.5561417,1.2690966,0.34553498,1.0929438,0.8946437,-0.21148455,-0.3693551,-0.013549144,0.25664657,-0.83312505,0.97594273,0.60918593,0.27224013
588214_z,Vitis_riparia,6,1.2652526,-0.2636494,1.1783568,0.36890435,-1.4534434,1.5834496,-0.9461715,1.8461305,1.3602014,1.1884454,0.75499266,-0.26148257,-0.9671708,0.39160115,0.9914709,-0.006854209,1.3803837,0.9446154,-0.21914619
588190_z,Vitis_riparia,6,-0.43547067,0.28712547,0.45196152,1.1016717,-0.9546722,1.7363825,0.9638337,1.6617469,2.7116969,1.7543856,1.9729036,-0.2125045,-0.7597989,0.88131344,-0.15188327,-0.54752326,1.0299344,-0.020458618,-0.27317762
588273_z,Vitis_riparia,6,0.5662328,0.002816131,0.17159237,0.11777621,0.7150182,0.15397418,-0.8821132,2.246069,0.6925935,0.6983718,0.3254827,-0.36379743,-0.9076153,-0.093577005,0.07854475,-0.8369221,1.832018,0.2735121,0.13730851
588274_z,Vitis_riparia,6,0.49166188,-0.20861651,0.38855812,-0.42745262,-0.6872717,0.03618932,-1.3139044,1.3323455,2.1014264,0.68729305,0.5199327,-0.14361711,-0.6563687,0.020962173,-0.44575718,-0.7299688,1.1467857,-0.013098374,-0.050861325
