Accession_position,genus_species,spec_as_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
483153_x,Vitis_labrusca,4,1.9786917,1.5059528,-0.635403,0.27296403,0.78388584,-0.2937412,0.85607284,-0.6778248,-0.5172684,-0.70239323,-0.80789906,-0.10930907,0.7668774,-0.17027687,-0.13260281,-0.28988543,-0.52031416,-0.8193245,-0.18663524
483146_x,Vitis_labrusca,4,-0.5137558,-0.41098893,-0.5827769,0.33916968,0.6725969,-0.42031118,1.2981955,-1.0833783,-0.6289488,-0.862593,-0.84368026,0.427708,0.9392417,-0.2965126,-0.20658645,0.21460967,-0.96374965,-0.71077746,-0.02031589
588152_x,Vitis_palmata,5,5.23609,2.975455,-0.59881395,0.95699275,1.2031413,-1.2943794,-0.23239952,-1.144081,-0.6201459,-0.34215486,0.23244934,4.0416694,0.1570645,-0.09236332,0.6512822,0.60610276,-1.1314205,-0.3369107,0.18216015
588155_x,Vitis_palmata,5,1.9043878,1.7500876,-0.8243668,0.95926994,1.5044324,-0.13322046,0.26319045,-1.089407,-0.42873427,0.59825057,0.95545936,1.0881932,-0.002046907,0.855549,8.329366,1.4138005,-1.1022441,-0.1329068,-0.20036653
588201_x,Vitis_palmata,5,0.77775055,2.1486306,-0.7859989,-0.23662946,1.3208983,0.053987306,0.22084917,-1.123292,-0.82520974,-0.09204971,1.3130411,4.5282016,0.033718448,-0.003095937,0.36423364,1.1740594,-1.0903581,-0.62513936,0.8682145
588233_x,Vitis_palmata,5,2.4849627,1.4361206,0.018789466,0.24096856,0.9341339,-1.5507412,0.11402519,-0.045130465,0.17154868,0.68931884,1.0774634,0.6727935,0.22600253,-0.029133866,-0.26653513,-0.2916734,-0.10726065,-0.59028083,0.14100471
588467_x,Vitis_palmata,5,0.4757909,2.6700528,-0.7223108,0.4414281,1.1616125,-0.39762878,0.6917247,-1.0779613,-0.805627,0.07290324,0.37450343,2.5139422,0.19960904,0.3440269,-0.39145926,0.2283823,-1.1315079,-0.49314007,-0.16914865
588440_x,Vitis_riparia,6,-1.1721882,-0.6141674,-0.7681144,0.1657552,0.3318497,-0.52602386,0.7309997,-0.72052133,-0.5334626,-0.5977538,-0.53228253,-0.31215388,0.04997657,-0.009280042,0.06068287,0.77709913,-0.8998755,-0.24922621,0.17099215
588214_x,Vitis_riparia,6,-1.2913607,-0.31200773,-0.5275061,0.40491518,0.8602964,-1.9248928,0.49847418,-0.84167147,-0.24961916,-1.0808917,-0.9083051,-0.07882456,0.03212102,2.241251,-0.6370242,6.7283993,-0.9132734,0.020391822,-0.28892523
588276_x,Vitis_riparia,6,1.069558,0.32539085,-0.4127877,-0.39912596,1.3892496,0.92313075,0.5700013,-0.58128536,-0.21014206,-0.70726085,-0.69021755,-0.08766295,0.000386171,-0.12798521,-0.8896697,1.4851596,-0.6692528,-0.3775264,-0.18804173
588273_x,Vitis_riparia,6,-0.5042338,0.43320537,-0.24093919,2.6215801,1.2147483,,0.6239279,-0.3832154,-0.11163861,-0.45768467,-0.28046238,-0.30742088,-0.4897093,0.124202125,0.5234262,0.11857135,-0.3329533,-0.39500004,-0.33113274
